FID	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
 HG00137	-0.0115670869424	0.0274537009979	0.0097412092733	0.0186902996488	0.0064457098885	0.0054568527200	-0.0025416741023	0.0002544225082	0.0217031794289	-0.0502316141839
 HG00138	-0.0113594905322	0.0277874920273	0.0104307131712	0.0185143055112	0.0088966854745	0.0071251493783	-0.0015241167597	0.0028331993322	0.0161839579345	-0.0248607792187
 HG00139	-0.0112362580090	0.0276159143756	0.0102942973072	0.0188453667649	0.0089100426516	0.0024947236641	0.0008019778268	0.0004997197890	0.0102329440966	-0.0235348337051
 HG00140	-0.0116873617817	0.0269731984168	0.0108888328784	0.0181931223263	0.0085576121140	0.0048416938336	-0.0012770786531	0.0029366798756	0.0103933785956	-0.0428766872830
 HG00141	-0.0117136502626	0.0274584403107	0.0102284992335	0.0172635998700	0.0102952702183	0.0094776597871	0.0008649118900	0.0015769981488	0.0177075900458	-0.0264015848387
 HG00142	-0.0114092718730	0.0278176837867	0.0094676911664	0.0191798941844	0.0059740152353	0.0054925275740	-0.0003811686054	0.0009556795043	0.0152794916026	-0.0247276061668
 HG00143	-0.0113064821236	0.0278224698529	0.0102175970381	0.0175076505117	0.0050340350899	0.0055427546980	0.0001982237929	0.0015817346300	0.0095364929027	-0.0295856447057
 HG00145	-0.0114684302449	0.0271847368618	0.0095103003371	0.0180356067798	0.0035835284890	0.0061580981342	0.0007438702061	0.0013267936648	0.0186858187812	-0.0416659867947
 HG00146	-0.0117652678063	0.0276169962396	0.0114376998583	0.0198751072883	0.0035202411427	0.0090337665881	-0.0018007532117	0.0005113520043	0.0168707675703	-0.0404583732694
 HG00148	-0.0115143631463	0.0276207481884	0.0104919677482	0.0184322540414	0.0076570971393	0.0074255579498	-0.0017481991864	0.0024683256957	0.0158727658036	-0.0514477254901
 HG00149	-0.0112830179263	0.0278688762278	0.0116936787608	0.0193092162292	0.0090544043793	0.0074307567396	0.0012291277356	0.0017131372768	0.0201813894520	-0.0309216567880
 HG00150	-0.0116277468989	0.0270782685379	0.0107668369642	0.0181405358005	0.0094178726475	0.0077898082500	-0.0023794697617	0.0027961153482	0.0129467062447	-0.0386890983991
 HG00151	-0.0115947795734	0.0265904976422	0.0105959874819	0.0173099434924	0.0107040165839	0.0091631024886	-0.0007140543668	-0.0016136662504	0.0081182124039	-0.0370420028693
 HG00154	-0.0114076723986	0.0284029856352	0.0104332705835	0.0186027285142	0.0087459037875	0.0033294739317	0.0000378768690	-0.0003750958783	0.0135079783341	-0.0227251711172
 HG00155	-0.0117625604637	0.0271688206286	0.0107803334679	0.0169091161684	0.0080997973721	0.0077307452817	0.0006424586265	0.0058782692433	0.0173424304563	-0.0312912701354
 HG00157	-0.0113696757719	0.0267862424551	0.0114816025134	0.0193282184418	0.0115786847502	0.0075867975173	0.0000095001701	0.0032440680662	0.0129845588117	-0.0373635833122
 HG00158	-0.0115022400095	0.0261166578098	0.0116185709227	0.0156812788657	0.0085159893279	0.0061261204957	0.0010310351420	0.0010726931685	0.0145923726248	-0.0304755262154
 HG00159	-0.0113562793141	0.0274988001029	0.0107581997424	0.0187215272821	0.0069315463932	0.0052868673990	-0.0005313636628	0.0031496446072	0.0212712843087	-0.0376233746618
 HG00160	-0.0115918413383	0.0276740606578	0.0112413301182	0.0185758408993	0.0101962405594	0.0078706838757	0.0002638455568	0.0020279534852	0.0188225157738	-0.0281084898328
 HG00171	-0.0126023223899	0.0224770095683	0.0129995022178	0.0159847057596	0.0792398609112	0.0440862132730	-0.0000499298053	-0.0119078381462	-0.0147296815108	0.0442755640901
 HG00173	-0.0122787837182	0.0229398615663	0.0121203119335	0.0153564072559	0.0709270632825	0.0425034102090	-0.0029258682016	-0.0117177137464	-0.0183118777078	0.0416876266933
 HG00174	-0.0121025083204	0.0244120287618	0.0125160682316	0.0171372670437	0.0555671428599	0.0317758142572	-0.0021737888917	-0.0074509423517	-0.0144810835473	0.0236319253325
 HG00176	-0.0122761069937	0.0227356527825	0.0122084395237	0.0165281364975	0.0696852548216	0.0401606897011	-0.0019445065943	-0.0145629251373	-0.0215946737320	0.0279550584059
 HG00177	-0.0122635156860	0.0217135752873	0.0123876355198	0.0155010728749	0.0745548457677	0.0395490470634	-0.0021589427926	-0.0127231312010	-0.0166515496927	0.0411607821230
 HG00178	-0.0121504277136	0.0235651884997	0.0114676785070	0.0174725940863	0.0666871476120	0.0351267108197	-0.0011817897634	-0.0076539388027	-0.0163798494286	0.0220313005443
 HG00179	-0.0120807818226	0.0226391342899	0.0112934559403	0.0160403417792	0.0693801488106	0.0408803775252	-0.0000114049964	-0.0133230539341	-0.0193315381657	0.0203338673239
 HG00180	-0.0120883431781	0.0230534426708	0.0113818070761	0.0164150178583	0.0643886678809	0.0399970706896	-0.0013860176313	-0.0109522894478	-0.0108639256181	0.0337509676391
 HG00181	-0.0112158478738	0.0235791473056	0.0095903080372	0.0168282351712	0.0444243666044	0.0232220770788	0.0004962206577	-0.0069959506250	-0.0131275343526	0.0311254922765
 HG00182	-0.0119568965047	0.0226270596008	0.0125687314834	0.0143352435014	0.0724613056859	0.0420911733697	-0.0024300478273	-0.0115877088902	-0.0176271410787	0.0282372272015
 HG00183	-0.0122054611029	0.0229903176420	0.0105712759119	0.0157221129867	0.0718310615677	0.0412382702772	-0.0019389176991	-0.0094895818025	-0.0163814110988	0.0342376961977
 HG00185	-0.0122406160773	0.0221035763070	0.0109905861524	0.0167709173490	0.0764680263866	0.0449240991788	0.0001153258587	-0.0114957455000	-0.0222254780734	0.0392726321443
 HG00186	-0.0122372967618	0.0230313702241	0.0119120457223	0.0160566880472	0.0728322575903	0.0437104704510	-0.0023311446425	-0.0134191580772	-0.0267375576940	0.0468786168693
 HG00187	-0.0117560459210	0.0224531927836	0.0127905677637	0.0160618733774	0.0772476739152	0.0438537047877	-0.0022172941722	-0.0133488267445	-0.0294516055822	0.0448249842937
 HG00188	-0.0120660997224	0.0237988553182	0.0110599993787	0.0159837537390	0.0670073663482	0.0346013213170	-0.0014690359184	-0.0073108850010	-0.0172542468350	0.0340645245005
 HG00189	-0.0121735560709	0.0226465568424	0.0118757789716	0.0169569742185	0.0627291601520	0.0373463978015	-0.0010912731653	-0.0061001903651	-0.0112537834672	0.0241281143681
 HG00190	-0.0118100568537	0.0240783389892	0.0104983368142	0.0169184723528	0.0535417297412	0.0344609417490	-0.0015692200447	-0.0069805796688	-0.0075476735749	0.0164359474025
 HG00231	-0.0116157001761	0.0270362798863	0.0102319579493	0.0172622482870	0.0034805560440	0.0023558846023	-0.0008488177272	0.0036378803299	0.0169810805789	-0.0405584360358
 HG00232	-0.0114554362281	0.0281310419564	0.0098304545303	0.0168398106283	0.0075764578943	0.0039466435723	-0.0007731649800	0.0030111206436	0.0254578835094	-0.0413569546672
 HG00233	-0.0112000561968	0.0277997160359	0.0105386010570	0.0193499726379	0.0027035054987	0.0054987655575	-0.0029846950973	0.0019515307393	0.0122882152981	-0.0305326515457
 HG00234	-0.0115647456409	0.0275865996553	0.0099052146936	0.0187560569312	0.0052630800750	0.0050974898981	-0.0009031363128	0.0020303499355	0.0189694307168	-0.0347052584259
